영화명,개봉일
명량,2014-07-30
겨울왕국,2014-01-16
인터스텔라,2014-11-06
해적: 바다로 간 산적,2014-08-06
수상한 그녀,2014-01-22
변호인,2013-12-18
국제시장,2014-12-17
트랜스포머: 사라진 시대,2014-06-25
군도: 민란의 시대,2014-07-23
엣지 오브 투모로우,2014-06-04
베테랑,2015-08-05
암살,2015-07-22
어벤져스: 에이지 오브 울트론,2015-04-23
국제시장,2014-12-17
내부자들,2015-11-19
사도,2015-09-16
킹스맨 : 시크릿 에이전트,2015-02-11
미션 임파서블: 로그네이션,2015-07-30
연평해전,2015-06-24
쥬라기 월드,2015-06-11
부산행,2016-07-20
검사외전,2016-02-03
캡틴 아메리카: 시빌 워,2016-04-27
밀정,2016-09-07
터널,2016-08-10
인천상륙작전,2016-07-27
럭키,2016-10-13
곡성,2016-05-12
덕혜옹주,2016-08-03
닥터 스트레인지,2016-10-26
택시운전사,2017-08-02
신과함께-죄와 벌,2017-12-20
공조,2017-01-18
스파이더맨: 홈 커밍,2017-07-05
범죄도시,2017-10-03
군함도,2017-07-26
청년경찰,2017-08-09
더 킹,2017-01-18
미녀와 야수,2017-03-16
킹스맨: 골든 서클,2017-09-27
신과함께-인과 연,2018-08-01
어벤져스: 인피니티 워,2018-04-25
보헤미안 랩소디,2018-10-31
미션 임파서블: 폴아웃,2018-07-25
신과함께-죄와 벌,2017-12-20
쥬라기 월드: 폴른 킹덤,2018-06-06
앤트맨과 와스프,2018-07-04
안시성,2018-09-19
블랙 팬서,2018-02-14
완벽한 타인,2018-10-31
1987,2017-12-27
극한직업,2019-01-23
어벤져스: 엔드게임,2019-04-24
겨울왕국 2,2019-11-21
알라딘,2019-05-23
기생충,2019-05-30
엑시트,2019-07-31
스파이더맨: 파 프롬 홈,2019-07-02
백두산,2019-12-19
캡틴 마블,2019-03-06
조커,2019-10-02
남산의 부장들,2020-01-22
다만 악에서 구하소서,2020-08-05
반도,2020-07-15
히트맨,2020-01-22
테넷,2020-08-26
백두산,2019-12-19
#살아있다,2020-06-24
강철비2: 정상회담,2020-07-29
담보,2020-09-29
닥터 두리틀,2020-01-08
스파이더맨: 노 웨이 홈,2021-12-15
모가디슈,2021-07-28
이터널스,2021-11-03
블랙 위도우,2021-07-07
분노의 질주: 더 얼티메이트,2021-05-19
싱크홀,2021-08-11
극장판 귀멸의 칼날: 무한열차편,2021-01-27
베놈 2: 렛 데어 비 카니지,2021-10-13
소울,2021-01-20
크루엘라,2021-05-26
범죄도시2,2022-05-18
탑건: 매버릭,2022-06-22
아바타: 물의 길,2022-12-14
한산: 용의 출현,2022-07-27
공조2: 인터내셔날,2022-09-07
닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04
헌트,2022-08-10
올빼미,2022-11-23
쥬라기 월드: 도미니언,2022-06-01
마녀(魔女) Part2. The Other One,2022-06-15
범죄도시3,2023-05-31
스즈메의 문단속,2023-03-08
더 퍼스트 슬램덩크,2023-01-04
가디언즈 오브 갤럭시: Volume 3,2023-05-03
아바타: 물의 길,2022-12-14
슈퍼 마리오 브라더스,2023-04-26
존 윅 4,2023-04-12
영웅,2022-12-21
분노의 질주: 라이드 오어 다이,2023-05-17
교섭,2023-01-18
앤트맨과 와스프: 퀀텀매니아,2023-02-15